ID,Category,Title,Response,Representative Questions
1970,General,How to sign into the BJ's Mobile app,"<p>The BJ&rsquo;s App has everything you need to make the most of your BJs Membership. Here's how you sign into the app: </p><NEWLINE><NEWLINE><ol><NEWLINE><TAB><li>When you open the app for the first time, you will be asked to create an online account. Fill out the required fields (i.e., membership number, email address, password, zip code, and a first and last name that match your membership information on file)</li><NEWLINE><TAB><li>If you already have an online account, select ""I already have a BJs.com account""</li><NEWLINE><TAB><li>Once you've selected ""Sign in"", you'll be asked to enter your email address and password. Once this is done, you're all set!</li><NEWLINE></ol>","I don't know how to sign in to the mobile app<NEWLINE>How do I login to the mobile app?<NEWLINE>Show me how to login onto the app<NEWLINE>How do you sign in to the app on the phone?<NEWLINE>how to sign into BJ's app<NEWLINE>how to sign into BJs app<NEWLINE>log in<NEWLINE>cannot seem to get this mobile app to work<NEWLINE>I can't log into my app<NEWLINE>It won’t let me complete my app sign up<NEWLINE>I want to log in on the APP, but I can't log in<NEWLINE>"
1969,Tracking & Status,Tracking says my package was delivered but it hasn't arrived yet,"<p>There are a few reasons why tracking information might list packages as ""delivered"" when you may not have received the merchandise yet.</p><NEWLINE><NEWLINE><ol><NEWLINE><TAB><li>Most of these instances occur when the freight carrier classifies the package as ""delivered"" when they hand the package off to a local delivery agent. In these cases, the local delivery agent should be contacting you soon to schedule a delivery.</li><NEWLINE><TAB><li>Once tracking says delivered, we recommend you wait three days and check side doors, deck, yard, and neighbors' houses. Misplaced deliveries are uncommon but possible.</li><NEWLINE></ol>","the tracking info says that my package has already been delivered but I haven't received it yet<NEWLINE>I haven't received my items yet when I check, it says that my package has already been delivered.<NEWLINE>it says here that it's been delivered but it hasn't arrived yet.<NEWLINE>I haven't gotten my package yet but the tracking info says that it's been delivered.<NEWLINE>Tracking says my package was delivered but it hasn't arrived yet<NEWLINE>says delivered but wasn't<NEWLINE>did not receive the order that was delivered<NEWLINE>package not delivered<NEWLINE>missing package<NEWLINE>my order was never delivered<NEWLINE>I did not receive it<NEWLINE>I did not received it<NEWLINE>I’m missing an order that was marked delivered but never actually got delivered to my address<NEWLINE>my package was never received<NEWLINE>"
1968,Refund & Return,Bjs.com Refund Policy,"<p>For our in-depth return policy, please see <a href=""https://www.bjs.com/help/what-is-bj-s-wholesale-club-return-policy-/"">this article.</a></p><NEWLINE><NEWLINE><p>When your return is received and processed, you will receive an email from Member Care with the status of the return and when to expect return credit. Please keep in mind that it can take up to 30 days for a credit post to your account. </p><NEWLINE><NEWLINE><p>If you have questions or need further assistance with your refund, please contact our Member Care Team at 800-BJS-CLUB (257-2582). Member Care is open:</p><NEWLINE><NEWLINE><p>Monday-Friday, 8 AM-7 PM; Saturday, 8 AM-6 PM; <br /><NEWLINE>Sunday, 12 NOON-6 PM (all times are ET). </p><NEWLINE><NEWLINE><p>Please have your return tracking information ready to expedite service.</p>",What is the website refund policy?<NEWLINE>I want to know what the web refund policy is<NEWLINE>What is the online refund policy like?<NEWLINE>Where can I find the website refund policy?<NEWLINE>Bjs.com Refund Policy<NEWLINE>refund<NEWLINE>return<NEWLINE>money back<NEWLINE>can I return at the local BJs store<NEWLINE>exchange<NEWLINE>i would like to return this order<NEWLINE>product no longer needed<NEWLINE>Is it possible to return these<NEWLINE>can I get my money back<NEWLINE>I would like to return something I bought <NEWLINE>
1967,Place Order,Placing a Same Day Delivery Order,"<p>Hyperlab is an Everise site so we will not be able to access that data. To place a SDD order:</p><NEWLINE><NEWLINE><ol><NEWLINE><TAB><li>Log into <a href=""http://bjs.com"">Bjs.com</a></li><NEWLINE><TAB><li>Search for the products you need. If a product is available for same day delivery, you will see a ""Same Day Delivery to [ZIP code]"" option along with the ship to home and free pickup options. (Note: every product will not have all three options.)</li><NEWLINE><TAB><li>Select the Same-Day Delivery option and then click ""Add to Cart.""</li><NEWLINE><TAB><li>On the checkout page, enter your cell phone number and select a delivery date and time</li><NEWLINE><TAB><li>Enter delivery instructions if you have any, for example ""deliver to side door""</li><NEWLINE><TAB><li>Under each same-day delivery item, you can check or uncheck the option to allow substitutions. You can also enter specific instructions about what kind of substitutions you're OK with.      </li><NEWLINE><TAB><li>Save your changes and then enter your payment details in order to submit the order.</li><NEWLINE></ol>",I want to place an order using Same Day Delivery<NEWLINE>How do I place an order for Same Day Delivery?<NEWLINE>Instructions on placing Same Day Delivey orders<NEWLINE>I don't know how to place a Same Day Delivery order<NEWLINE>Do I need an account for Same Day Delivery? How do I sign up?<NEWLINE>How do I register for a Same Day Delivery account?<NEWLINE>How do I get an account for Same Day Delivery?<NEWLINE>I have to sign up a Same Day Deliver account? How do I do that?<NEWLINE>Placing a Same Day Delivery Order<NEWLINE>how to place a same day delivery<NEWLINE>
1966,General,Household Member,"<p>A Household Member is an individual registered under a BJ's In-Club Membership. This individual must be a family member that resides in the Primary Member's address, a full-time college student or currently in the military.</p><NEWLINE><NEWLINE><p>The number of household members allowed at no additional charge differs on the type of Membership the Primary Member has.</p><NEWLINE><NEWLINE><p><strong>Do you have an Inner Circle or BJ's Perk Rewards Membership?</strong></p><NEWLINE><NEWLINE><p>If yes, you are allowed one (1) Household Member at no additional charges.</p><NEWLINE><NEWLINE><p><strong>Do you have a Business or BJ's Rewards Business Membership?</strong></p><NEWLINE><NEWLINE><p>If yes, you are not allowed any additional Household Members but are allowed one (1) Supplemental Member at no additional charges.</p><NEWLINE><NEWLINE><p><strong>Ok, how do I register an additional member?</strong></p><NEWLINE><NEWLINE><p>In order to register a Household Member, the Primary Member must add the individual to their membership. They can do this by going into any BJ's club with a valid Photo ID and proof of address to have a household membership card printed.</p><NEWLINE><NEWLINE><p>If you need more information, you may find more details at <a href=""https://www.bjs.com/help/how-do-i-add-a-household-member-/"">this link</a>.</p>",What is a household member<NEWLINE>Household Member<NEWLINE>I want to know more about household members<NEWLINE>What's a household member?<NEWLINE>Tell me about household members<NEWLINE>Can anybody be a household member<NEWLINE>change primary member<NEWLINE>remove a member<NEWLINE>supplemental member<NEWLINE>Can I add one more member to my membership?<NEWLINE>household members<NEWLINE>
1965,Assistance,Speak to a Team Member,<p>I&rsquo;m finding a Team Member who can help. You&rsquo;ll be connected as soon as one is available.</p>,"Who do I talk to if I have some questions?<NEWLINE>I need to talk to someone<NEWLINE>I have a different question, please redirect me to an agent.<NEWLINE>Can I talk to an agent, you don't have solution to my problems.<NEWLINE>My issues are not listed in here, pass me to a proper team.<NEWLINE>speak to human<NEWLINE>talk to agent<NEWLINE>customer support<NEWLINE>customer service<NEWLINE>please connect me to a human<NEWLINE>please connect me to an agent<NEWLINE>Team Member<NEWLINE>agent request<NEWLINE>agent<NEWLINE>representative<NEWLINE>real person<NEWLINE>help<NEWLINE>associate<NEWLINE>live chat<NEWLINE>operator<NEWLINE>team memeber<NEWLINE>member care<NEWLINE>memeber care<NEWLINE>agen<NEWLINE>live<NEWLINE>chat<NEWLINE>team<NEWLINE>angent<NEWLINE>I would like to speak to someone<NEWLINE>I would like to speak to someone, is there a number you can give me?<NEWLINE>i need a person<NEWLINE>rep<NEWLINE>agnet<NEWLINE>human<NEWLINE>aget<NEWLINE>can someone assist me<NEWLINE>customer service<NEWLINE>aent<NEWLINE>manager<NEWLINE>reprresentative<NEWLINE>i need help<NEWLINE>agemt<NEWLINE>agennt<NEWLINE>assistant<NEWLINE>i want to talk<NEWLINE>Agebt<NEWLINE>question not on list<NEWLINE>I tried and they keep disconnecting my call<NEWLINE>agengt<NEWLINE>email changed but not by me<NEWLINE>Account locked<NEWLINE>"
1964,General,Picking up an order,"<p>When picking up your order, please check in with one of our friendly door greeters at the front of the Club and they'll guide you to the pickup location. Alternatively, you can utilize our Curb Side pickup option by following these steps:</p><NEWLINE><NEWLINE><ol><NEWLINE><TAB><li>During checkout, click on &ldquo;Free Pick Up In-Club Today&rdquo;</li><NEWLINE><TAB><li>When you arrive at the Club, park in one of the spots reserved for Curbside Pickup (look for the signs).</li><NEWLINE><TAB><li>Open BJ&rsquo;s mobile app, go into &ldquo;in-Club mode&rdquo;</li><NEWLINE><TAB><li>Select &ldquo;Pickup Check In&rdquo;</li><NEWLINE><TAB><li>Select &ldquo;Curbside Pickup&rdquo;</li><NEWLINE><TAB><li>The app will ask you to describe the make and color of the vehicle you are sitting in</li><NEWLINE><TAB><li>A BJ&rsquo;s Team Member will come out to your vehicle and deliver your order to you</li><NEWLINE></ol>","What should I do once I reach the Club<NEWLINE>What do I have to do when I reach the Club?<NEWLINE>What do I have to do once I've arrived at the club to pick up my order?<NEWLINE>I want to go pick up my order, what do I have to do to when I arrive?<NEWLINE>What are the instructions to pick up my order once I reach the Club?<NEWLINE>What do I have to do first after I've arrived to pick up my order?<NEWLINE>Picking up an order<NEWLINE>pick up order<NEWLINE>curbside pickup<NEWLINE>"
1963,Change,Cancel or make changes to order,"<p>Once you click ""<strong>Submit Order</strong>"" on the Checkout screen, your order has been completed. After that, we cannot guarantee we will be able to make any changes. Please call 800-BJS-CLUB (257-2582) for more information. We will do our best to assist you.</p><NEWLINE><NEWLINE><p>To cancel your BJs.com order, here's what you can do:</p><NEWLINE><NEWLINE><ol><NEWLINE><TAB><li>Click on ""<strong>Order Status</strong>"" at the top of any page on BJs.com. If you are not signed in to your BJs.com online account, you will be prompted to sign in. Enter your login email address and password. </li><NEWLINE><TAB><li>On the ""<strong>Order Status</strong>"" page, click the ""<strong>Cancel</strong>"" link next to the item you wish to cancel.</li><NEWLINE></ol><NEWLINE><NEWLINE><p><strong>Take note: </strong>If your order is not already in the process of being fulfilled, you can request a cancellation. However, this is not guaranteed. Unfortunately, if your order has been shipped, it is too late to cancel the order.</p>",I want to change my order<NEWLINE>I need to change my order<NEWLINE>order change<NEWLINE>I need to edit my order<NEWLINE>Need to edit a couple of things in my order<NEWLINE>I want to change my order details<NEWLINE>I want to cancel my order<NEWLINE>How do i cancel my order<NEWLINE>I have an online order that i want to cancel<NEWLINE>I made an order online that i want to cancel<NEWLINE>cancel order<NEWLINE>order cancellation<NEWLINE>How do I cancel my BJs.com order?<NEWLINE>Cancel or make changes to order<NEWLINE>Order placed incorrectly<NEWLINE>how can I cancel?<NEWLINE>Add item to same day delivery<NEWLINE>billing address should be<NEWLINE>Change day of my order<NEWLINE>
1962,General,How to add items to my online shopping cart,"<p>Once you're signed in, adding items to your cart is simple. To add items to your cart, follow these steps:</p><NEWLINE><NEWLINE><ol><NEWLINE><TAB><li>Login to Bjs.com</li><NEWLINE><TAB><li>Make sure the top left corner of the screen reflects the correct city you're shopping from.</li><NEWLINE><TAB><li>Search for the products you need. If a product is available for same day delivery, you will see a ""Same Day Delivery"" option for your zip code, along with the ""Ship to home"" and ""free pickup"" options. (Note: every product will not have all three options.)</li><NEWLINE><TAB><li>Select the Same-Day Delivery option and then click ""Add to Cart.""</li><NEWLINE></ol>",How can I add items to my shopping cart<NEWLINE>How do you add items to your shopping cart online?<NEWLINE>I want to add items to the cart on BJs.com<NEWLINE>I don't know how to add stuff to my online cart<NEWLINE>I need to know how to add stuff to my shopping cart on the website<NEWLINE>how to add items to shopping cart<NEWLINE>adding items to shopping cart<NEWLINE>remove item from cart<NEWLINE>
1961,Availability,Cancelled Items,"<p>We are currently experiencing an extremely high inventory turnover rate. Although we are restocking as soon as possible, this high demand for certain popular items has led to the occasional depletion of our in-Club stock, which could also lead to some online orders being delayed or canceled. We truly apologize for the inconvenience. Please note the following:</p><NEWLINE><NEWLINE><ol><NEWLINE><TAB><li>Our team members on-phone and on-chat will NOT have any additional information on when an item will be back in stock.</li><NEWLINE><TAB><li>Checking our website app is currently the best way to get inventory updates. However, please keep in mind that in-Club inventory for high-demand items has been fluctuating rapidly and could change before you can place your order or arrive at the Club.</li><NEWLINE><TAB><li>As always, our commitment remains focused on doing our part to support our Members and communities during this national crisis.</li><NEWLINE></ol>",Will you restock the cancelled items soon?<NEWLINE>I want to ask about cancelled items<NEWLINE>I need to know if you're gonna restock the cancelled items<NEWLINE> Will you restock the out-of-stock stuff soon?<NEWLINE>I want to ask about out of stock items<NEWLINE>Need to know a couple of things about the out of stock items<NEWLINE>I need to know if you're gonna restock the out of stock items<NEWLINE>I have a question about out-of-stock items<NEWLINE>cancelled items<NEWLINE>Why did my BJ’s store stop carrying<NEWLINE>did my BJ’s store stop carrying<NEWLINE>Why did you discontinue folgers<NEWLINE>Product stopped being carried<NEWLINE>Has BJs discontinued selling this product?<NEWLINE>
1960,Cancel,Cancel my membership,"<p>Members have three ways to cancel their Membership:</p><NEWLINE><NEWLINE><p><span style=""font-size:14px;"">Please note: Only the Primary Member can cancel a Membership. Cancellation by the Primary Member automatically cancels all Supplemental Memberships at the same time.</span></p><NEWLINE><NEWLINE><p><strong>Option 1</strong>: In person at the Member Services Desk at any BJ's location</p><NEWLINE><NEWLINE><p><strong>Option 2: </strong>Over the phone by contacting our Member Care team at 800-BJS-CLUB (257-2582) Monday-Friday, 8 AM-7 PM; Saturday, 8 AM-6 PM; and Sunday, 12 NOON-6 PM (all times are ET)</p><NEWLINE><NEWLINE><p><strong>Option 3: </strong>Via mail by sending a letter to: </p><NEWLINE><NEWLINE><p>BJ's Wholesale Club, Inc. <br /><NEWLINE>Attn: Membership, <br /><NEWLINE>25 Research Drive, Westborough, MA 01581</p>",I would like to unsubscribe from my BJ's membership<NEWLINE>How do I end my membership<NEWLINE> I want to stop being a BJ's member<NEWLINE> How do I stop being a BJ's member<NEWLINE>cancel membership<NEWLINE>unsubscribe<NEWLINE>quit being a member<NEWLINE>end membership<NEWLINE>I would like to cancel my account with BJ's<NEWLINE>cancel account<NEWLINE>cancel an account<NEWLINE>I want to speak to a representative to cancel my account<NEWLINE>yes I'd like to cancel my B. J.'s account<NEWLINE>I want to cancel my card<NEWLINE>I want to cancel my BJs card<NEWLINE>cancel my card<NEWLINE>cancel card on file<NEWLINE>cancel my card for the second time <NEWLINE>cancel the BJ's kark<NEWLINE>I want to cancel my account<NEWLINE>cancelling my card<NEWLINE>Please cancle my mebership<NEWLINE>I keep getting charged for my deceased<NEWLINE>How can I delete my account with BJ’s?<NEWLINE>
1958,Clipless Coupons,BJ's clipless coupons,"<p>You can clip digital coupons and apply them to your in-club or BJs.com purchases. It's easy: here's how you do it!</p><NEWLINE><NEWLINE><ol><NEWLINE><TAB><li>In order to clip coupons, you must be logged into your BJs.com account and your account must be linked to a current BJ's membership. You can clip coupons on BJs.com or through the mobile app.</li><NEWLINE><TAB><li>In the Big Book of Savings, you will now either need to digitally clip coupons prior to purchase or continue to be clipless, which are automatically taken off at checkout in-club or online.""</li><NEWLINE><TAB><li>These digitally 'clipped coupons' may be applied directly to your in-club or online purchases at checkout.</li><NEWLINE></ol>",I don't know how to clip digital coupons<NEWLINE>How to clip digital coupons<NEWLINE>Not sure how the digital coupons work<NEWLINE>How do I use the clipless coupons<NEWLINE>I want to know how to use the clipless digital coupons<NEWLINE>Do I need to clip the digital coupons<NEWLINE>BJ's clipless coupons<NEWLINE>BJ's clipless coupons<NEWLINE>coupons<NEWLINE>coupon<NEWLINE>
1957,Location,Nearest BJ's Club,"<p>To find a BJ's Club near you, use our <a href=""https://www.bjs.com/clubLocator"">Club Locator</a> and search by either selecting a <strong>State and Town</strong> or entering your <strong>ZIP code</strong>.</p>",How do I find a BJ's near me?<NEWLINE>Nearest BJ's Club<NEWLINE>I want to know the location of the closest store to me<NEWLINE>How can I find out the location of the nearest BJs club to me<NEWLINE>I want to find out the location of the nearest club<NEWLINE>Nearest club location<NEWLINE>Nearest store location<NEWLINE>Nearest club<NEWLINE>Nearest store<NEWLINE>Closest store<NEWLINE>Closest BJ's club<NEWLINE>I would like to find the closest store.<NEWLINE>store near me<NEWLINE>nearest bjs<NEWLINE>nearest bj's<NEWLINE>BJs near me<NEWLINE>BJ's near me<NEWLINE>
1956,Refund & Return,Refund EZ Renewal payment,"<p>I understand you're requesting a refund for your EZ Renewal payment. You can do this by contacting Member Care at 800-BJS-CLUB (257-2582).</p><NEWLINE><NEWLINE><p> </p><NEWLINE><NEWLINE><p>Member Care is open:</p><NEWLINE><NEWLINE><p>Monday-Friday, 8 AM-7 PM; Saturday, 8 AM-6 PM; <br /><NEWLINE>Sunday, 12 NOON-6 PM (all times are ET).</p>",Refund EZ Renewal payment<NEWLINE>I want a refund on my EZ Renewal payment<NEWLINE>Can I get a refund for my EZ Renewal payment?<NEWLINE>I'd like to get repayment for my EZ Renewal.<NEWLINE>Please give back my money for EZ Renewal.<NEWLINE>When can you return my EZ Renewal money?<NEWLINE>Please repay my money for EZ Renewal.<NEWLINE>Refund EZ renewal<NEWLINE>Return EZ renewal cancellation money<NEWLINE>I have a question about EZ Renewal refund<NEWLINE>refund easy renewal payment<NEWLINE>refund easy renewal payment<NEWLINE>refund my easy payment<NEWLINE>refund easy payment<NEWLINE>refund EZ payment<NEWLINE>refund easy payment<NEWLINE>refund eazy payment<NEWLINE>refund EZ payment<NEWLINE>refund easy payment<NEWLINE>refund eazy payment<NEWLINE>Refund for easy renewal<NEWLINE>Refund for EZ renewal<NEWLINE>Refund for eazy renewal<NEWLINE>I see my credit card was charged to renew my membership. I did not authorize this charge.<NEWLINE>I did not authorize this charge<NEWLINE>renewal issue<NEWLINE>I was charged after canceling my membership<NEWLINE>charged for membership<NEWLINE>
1955,Payment,Pay and checkout on BJs.com,"<p>To pay and checkout on BJs.com, follow these simple steps:</p><NEWLINE><NEWLINE><p>1. Click on your cart in the top right-hand corner of the homepage to confirm your order, verify how you'd like to receive it and enter your shipping address, billing address, and payment method. This is where you can add your gift card or promo code.</p><NEWLINE><NEWLINE><p>2. Click SUBMIT to secure your order.</p><NEWLINE><NEWLINE><p>3. Check your inbox for notifications about delivery or pickup times and enjoy your items!</p>",How to pay and checkout on BJs.com<NEWLINE>How do I pay and checkout on BJs.com<NEWLINE>How do I pay for my items on BJs.com?<NEWLINE>I want to know how do I pay and checkout on the website<NEWLINE>I need to know how to checkout and pay for items in my cart<NEWLINE>How do I checkout on the website?<NEWLINE>pay on website<NEWLINE>How do I pay for my cart on BJs.com?<NEWLINE>How does one pay or check out the items in the shopping cart on the website?<NEWLINE>How do I checkout my stuff on BJs.com?<NEWLINE>I need to know how to pay for items in my cart<NEWLINE>How does one pay or check out the items in the shopping cart?<NEWLINE>Pay and checkout on BJs.com<NEWLINE>
1954,General,About Free Pick-Up Today,"<p>Want to order online and use <strong>BJ's Free Pick Up Today </strong>to <strong>Pick Up in-Club</strong>? No problem!<br /><NEWLINE><strong>Free Pick Up Today</strong> is a free service available in all Clubs. This service allows you to order items from BJs.com and pick them up at your local Club in just two hours.</p><NEWLINE><NEWLINE><p>You must be a BJ's Member and have an in-Club Membership to place a Free Pick Up Today order. BJ's Online Access Membership does not qualify for in-Club programs such as Free Pick Up Today, but a BJ's Online Access Member can be converted to an in-Club Membership.</p><NEWLINE><NEWLINE><p>NOTE: Items placed when the Club is closed or within two hours of Club closing time will be available for pickup when the Club reopens.</p>","What is Free Pick-Up Today?<NEWLINE>About Free Pick-Up Today<NEWLINE>I want to know more about Free Pick-Up Today<NEWLINE>What's Free Pick-Up Today about?<NEWLINE>Tell me about Free Pick-Up Today<NEWLINE>Someone told me about Free Pick-Up Today,<NEWLINE>Who can use Free Pick Up Today?<NEWLINE>Who can use pickup?<NEWLINE>Can anybody use Free Pick-Up Today?<NEWLINE>Is Free Pick Up Today for everyone?<NEWLINE>Is Free Pickup Today for members only?<NEWLINE>Do I have to be a member to use Free Pick-Up Today?<NEWLINE>free pick-up today<NEWLINE>free pickup today<NEWLINE>"
1953,Renewal,Renew my membership,"<p>There are a couple of things to remember when renewing your membership:</p><NEWLINE><NEWLINE><ul><NEWLINE><TAB><li>If you renew your Membership during your expiration month or within 2 months after the expiration month, you will retain your current expiration month for the renewed year.</li><NEWLINE><TAB><li>If you renew more than 2 months after your original expiration date, you will be issued a new expiration date.</li><NEWLINE></ul><NEWLINE><NEWLINE><p>For more information on this policy, please see BJ's Membership Privileges and Conditions. You can view your current expiration date of your membership by signing into your account on BJs.com. You can also find your date of expiration listed on your next BJ's receipt.</p>",Renew my membership<NEWLINE>How do I renew my membership<NEWLINE>I want to continue my membership<NEWLINE>How can I resume my membership<NEWLINE>I want to resume my BJs membership<NEWLINE>I want to continue being a member<NEWLINE>Resume membership<NEWLINE>Renew membership<NEWLINE>Continue membership<NEWLINE>Can you help me out with my membership renewal<NEWLINE>renew my account<NEWLINE>yeah I would like to renew my card<NEWLINE>I want to renew my BJs account<NEWLINE>renew account<NEWLINE>re new account<NEWLINE>renew my member card<NEWLINE>renew BJs card<NEWLINE>membership renewal<NEWLINE>i would like to renew my membership<NEWLINE>renewing membership<NEWLINE>Looking to pay for my reduced renewal<NEWLINE>
1952,Change,Update my membership number,"<p>Please follow the steps below to update your new Membership number in the BJ's Mobile App.</p><NEWLINE><NEWLINE><ol><NEWLINE><TAB><li>Download the BJ's Mobile App.</li><NEWLINE><TAB><li>Login to the app using the old membership number (Login ID and Password)</li><NEWLINE><TAB><li>In the top right hand corner of the app, select the My Account icon </li><NEWLINE><TAB><li>This will bring you to a screen that says Hi, [YOUR NAME]! On this page, select ""<strong>Membership information""</strong></li><NEWLINE><TAB><li>In membership information page, tap on ""Edit"" beside ""<strong>Primary Membership</strong>""</li><NEWLINE><TAB><li>Update the new membership number.</li><NEWLINE><TAB><li>Tap on ""<strong>Save changes</strong>"" and you're done!</li><NEWLINE></ol>","How do I update my membership number?<NEWLINE>Update my membership number<NEWLINE>I want to update my membership number in the app<NEWLINE>How can I change my membership number in the BJs app?<NEWLINE>update membership number<NEWLINE>Can I change my membership number in the mobile app?<NEWLINE>Is it possible to edit my membership number in the app?<NEWLINE>How do I update my membership number in the mobile app?<NEWLINE>I want to update my membership number<NEWLINE>I don't know how to update my membership number, can you help me?<NEWLINE>Help, how can I update my membership number?<NEWLINE>new membership account number<NEWLINE>online account update<NEWLINE>I got a brand new membership today and cannot update it in the app.<NEWLINE>"
1951,Change,Address change online,"<p>We highly encourage you to keep your contact information up-to-date by maintaining your online account. To update your address online, follow these steps: </p><NEWLINE><NEWLINE><ol><NEWLINE><TAB><li>Go to  BJs.com and log into your account.</li><NEWLINE><TAB><li>Go to ""<strong>Account Information</strong>"", then click on ""<strong>Account Details</strong>"".</li><NEWLINE><TAB><li>On the ""<strong>Account Details</strong>"" screen, click on the ""<strong>Edit</strong>"" pencil next to contact info.</li><NEWLINE><TAB><li>Update your address. Once your changes are complete, click ""<strong>Save</strong>"". And you're done!</li><NEWLINE></ol>","Address change online<NEWLINE>Can I change the address on my account online?<NEWLINE>I need to edit the address on my account. Can I do it online?<NEWLINE>My address is wrong and I need to make a change, is it possible to do it online?<NEWLINE>I want to change the address on my account.<NEWLINE>Change address online<NEWLINE>change my address<NEWLINE>I need my address removed<NEWLINE>remove address<NEWLINE>address is wrong<NEWLINE>i am trying to add an address and it won't let me<NEWLINE>"
1950,Change,Change pickup location after placing an order,"<p>At this time, we cannot change your Club once your order has been placed.</p>",Can I change my pickup location after I placed a Free Pick Up today order?<NEWLINE>Change pickup location after placing an order<NEWLINE>I already placed an order for Free Pick Up Today but I want to change Club<NEWLINE>Can I change locations after ordering for Free Pick Up Today?<NEWLINE>Can I change locations after ordering for Free Pick Up Today?<NEWLINE>I placed an order for Free Pick Up Today but I need to change the pickup location. How do I do that?<NEWLINE>change pickup location<NEWLINE>
1949,Place Order,Placing an order when the Club isn't open,<p>You can place an online order for an item any time. Free Pick Up Today orders placed after hours or within two hours of the Club closing will be available for pickup the following day.</p>,Placing an order when the Club isn't open<NEWLINE>Can I place a same-day Pick Up order if my Club isn't open?<NEWLINE>Can I place an order if my Club isn't open?<NEWLINE>I want to use same-day Pick Up for my order but my Club isn't open. What do I do?<NEWLINE>Can I still place a Free Pick Up Today order if the store I go to isn't open?<NEWLINE>My Club isn't open today and I was hoping to place an order and use Free Pick Up Today <NEWLINE>Is it possible to order and use Free Pick Up Today if my Club isn't open?<NEWLINE>Can I still place an order if my Club isn't open<NEWLINE>Is it possible to still place an order if my Club is closed?<NEWLINE>order when club is closed<NEWLINE>placed order club is closed<NEWLINE>I want to order but my club is closed<NEWLINE>
1948,Register,How to create an online account,"<p>Go to BJs.com. Click on the ""<strong>Sign in</strong>"" icon at the top right side of the homepage, and then click on the ""<strong>Create Online Account</strong>"" button (under the ""<em>Already a Club Member</em>?"" banner). Enter your Membership number (11 digits, with no dashes or spaces*) as well as your first name and last name. Click ""<strong>Continue</strong>"" and complete the required fields. It's as simple as that!</p><NEWLINE><NEWLINE><p>*If the Membership number on your card only has nine or ten digits, just add one or two zeroes to the beginning to make it 11 digits.</p>",How to create an online account<NEWLINE>How do members register online accounts on BJs.com?<NEWLINE>How can members register an account online on the website?<NEWLINE>I'm already a member but do I need to register online accounts still? How do I do that?<NEWLINE>How do I register an account online if I'm already a member?<NEWLINE>Is there a different way of registering an online account for existing members?<NEWLINE>How do I create an online account?<NEWLINE>create online account<NEWLINE>register for online account<NEWLINE>bjs.com account<NEWLINE>account registration<NEWLINE>I want to create an account<NEWLINE>I want to create account<NEWLINE>Won’t let me make account<NEWLINE>
1947,Place Order,How to place an order on BJs.com,"<p>Shopping BJs.com is the easy, fast and secure way to get your items the way you want without having to shop the aisles. Just follow this three-step process:</p><NEWLINE><NEWLINE><ol><NEWLINE><TAB><li>Create a BJs.com Account [Click on <a _cke_saved_href=""?requestType=NormalRequest&id=1948&source=5&question=How to create an online account"" href=""?requestType=NormalRequest&id=1948&source=5&question=How to create an online account"">How to create an online account</a> to find out how.]</li><NEWLINE><TAB><li>Add items to your online shopping cart</li><NEWLINE><TAB><li>Securely pay to checkout</li><NEWLINE></ol><NEWLINE><NEWLINE><p><br /><NEWLINE>Need more help?</p><NEWLINE><NEWLINE><p>You can have your order shipped to your home, picked up at your local Club or get Same-Day Delivery on delivery.bjs.com. Here's <a href=""https://www.youtube.com/watch?v=P8ff5vCfbgs"">a video</a> to show you how it's done.</p>",How to place an order on BJs.com<NEWLINE>How to shop online?<NEWLINE>How do I shop on BJs.com?<NEWLINE>What do I have to do so start shopping on BJs.com?<NEWLINE>I want to shop online but I'm not sure how it works<NEWLINE>How does one shop online on BJs.com?<NEWLINE>How do I shop on the website?<NEWLINE>I don't know how to shop on the website<NEWLINE>I'm not sure how to shop on the website<NEWLINE>online order<NEWLINE>I am trying to place an online order but it will not let me checkout<NEWLINE>trying to place an order online<NEWLINE>
